,Expectiminimax scores,MCTS win rates
0,-15.874015748031471,0.68
1,-15.539999999999997,0.6578947368421053
2,-15.75,0.5094339622641509
3,-7.799999999999999,0.6388888888888888
4,-8.357723577235777,0.6
5,-8.45283018867924,0.6111111111111112
6,-14.264705882352928,0.8014705882352942
7,-13.938461538461528,0.89937106918239
8,-14.366666666666662,1.0
9,-1.3396226415094339,1.0
10,-6.450331125827818,1.0
11,-19.0,0.21052631578947367
12,37.0,0.043478260869565216
13,96.0,0.0
14,98.0,0.0
15,136.0,0.0
16,161.0,0.0
17,187.0,0.0
18,210.0,0.0
19,212.0,0.0
20,223.0,0.0
21,225.0,0.0
22,224.0,0.0
23,224.0,0.0
