,Expectiminimax scores,MCTS win rates
0,-25.42696629213484,1.0
1,-27.65714285714286,1.0
2,-27.91999999999999,1.0
3,-27.912280701754362,1.0
4,-27.333333333333346,1.0
5,-23.268292682926845,0.9736842105263158
6,-24.615384615384617,0.8987341772151899
7,-23.999999999999993,1.0
8,-25.444444444444436,1.0
9,-27.891304347826097,1.0
10,-28.66666666666667,1.0
11,-27.0,1.0
12,-15.0,1.0
13,-6.0,0.75
14,1.0,1.0
15,-55.0,0.9523809523809523
16,-45.0,1.0
17,-35.0,1.0
18,-42.0,1.0
19,-32.0,1.0
20,-26.0,1.0
21,-27.0,1.0
22,-28.0,1.0
23,-15.0,1.0
