,Expectiminimax scores,MCTS win rates
0,-4.865384615384618,0.35294117647058826
1,-0.3409090909090913,0.3333333333333333
2,0.9629629629629629,0.2
3,1.6739130434782603,0.32432432432432434
4,1.2413793103448276,0.35294117647058826
5,13.308823529411761,0.6304347826086957
6,5.639999999999999,0.6932515337423313
7,-4.698113207547173,0.640117994100295
8,-4.529411764705881,0.8379120879120879
9,-5.659090909090912,1.0
10,-13.045454545454541,1.0
11,-21.0,1.0
12,-16.0,1.0
13,-39.0,1.0
14,-31.0,1.0
15,-30.0,0.9736842105263158
16,-23.0,0.9649122807017544
17,-16.0,1.0
18,-10.0,1.0
19,-10.0,0.937984496124031
20,-11.0,1.0
21,-11.0,1.0
22,-13.0,1.0
23,-2.0,1.0
