,Expectiminimax scores,MCTS win rates
0,-6.230769230769233,0.7058823529411765
1,-17.265625,0.6470588235294118
2,-4.333333333333331,0.75
3,2.25,0.8297872340425532
4,-8.44444444444444,0.8518518518518519
5,-7.733333333333338,0.98
6,-9.216666666666669,1.0
7,-9.263157894736846,1.0
8,-11.161016949152543,1.0
9,-8.549019607843126,1.0
10,-18.784172661870482,1.0
11,-24.0,1.0
12,-26.0,1.0
13,-25.0,1.0
14,-21.0,1.0
15,-18.0,1.0
16,-16.0,0.9615384615384616
17,-3.0,0.9016393442622951
18,-8.0,0.9900990099009901
19,-2.0,1.0
20,-8.0,1.0
21,-9.0,1.0
22,-10.0,1.0
23,-10.0,1.0
