,Expectiminimax scores,MCTS win rates
0,-7.015151515151518,0.9
1,-7.57894736842105,0.75
2,-7.654545454545455,0.75
3,-7.093023255813955,0.7567567567567568
4,-4.047619047619048,0.6727272727272727
5,-4.183673469387753,0.3884297520661157
6,2.4571428571428573,0.33649289099526064
7,2.411764705882353,0.4583333333333333
8,2.1714285714285717,0.5311909262759924
9,-0.02380952380952378,1.0
10,-6.8714285714285674,1.0
11,-11.0,0.7777777777777778
12,-5.0,0.5454545454545454
13,8.0,0.12
14,27.0,0.1
15,34.0,0.2631578947368421
16,31.0,0.06666666666666667
17,36.0,0.1267605633802817
18,36.0,0.040697674418604654
19,38.0,0.0
20,46.0,0.0
21,39.0,0.0
22,38.0,0.0
23,38.0,0.0
