,Expectiminimax scores,MCTS win rates
0,-7.663265306122462,1.0
1,-7.898305084745758,1.0
2,-8.409090909090907,1.0
3,-15.854545454545454,1.0
4,-1.8000000000000012,0.92
5,-1.3095238095238089,0.9742268041237113
6,-13.973684210526304,1.0
7,-24.71666666666667,1.0
8,-33.018518518518505,1.0
9,-33.00000000000001,1.0
10,-33.08000000000001,1.0
11,-34.0,0.8
12,-20.0,0.9090909090909091
13,-17.0,1.0
14,-17.0,1.0
15,-21.0,0.9523809523809523
16,-31.0,1.0
17,-26.0,1.0
18,-25.0,1.0
19,-25.0,1.0
20,-23.0,1.0
21,-11.0,1.0
22,-12.0,1.0
23,-12.0,1.0
