,Expectiminimax scores,MCTS win rates
0,-7.692307692307676,0.6842105263157895
1,-5.958333333333336,0.5416666666666666
2,-1.914893617021277,0.5
3,-8.169491525423725,0.7714285714285715
4,-9.060606060606066,0.8363636363636363
5,-19.8125,0.990909090909091
6,-18.95833333333333,1.0
7,-31.66666666666665,1.0
8,-30.771428571428586,1.0
9,-17.87804878048781,1.0
10,-19.459999999999994,1.0
11,-29.0,1.0
12,-30.0,1.0
13,-27.0,1.0
14,-24.0,1.0
15,-21.0,1.0
16,-21.0,1.0
17,-59.0,1.0
18,-56.0,1.0
19,-50.0,1.0
20,-50.0,1.0
21,-51.0,1.0
22,-44.0,1.0
23,-43.0,1.0
