,Expectiminimax scores,MCTS win rates
0,-13.34782608695652,0.5789473684210527
1,-11.714285714285708,0.5333333333333333
2,-9.723404255319144,0.5227272727272727
3,-7.733333333333335,0.6785714285714286
4,3.3396226415094348,0.6285714285714286
5,3.2600000000000016,0.746031746031746
6,2.39622641509434,0.7765567765567766
7,3.122448979591837,0.8595238095238096
8,2.4999999999999996,0.9133986928104575
9,-0.5853658536585362,1.0
10,-23.82222222222221,1.0
11,-15.0,0.22727272727272727
12,21.0,0.029411764705882353
13,71.0,0.029411764705882353
14,77.0,0.04
15,78.0,0.031746031746031744
16,86.0,0.0
17,95.0,0.0
18,98.0,0.0
19,132.0,0.0
20,141.0,0.0
21,150.0,0.0
22,150.0,0.0
23,150.0,0.0
