,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-129.18320610687022,0,0.9318181818181818,57
1,-133.71428571428567,0,0.9637681159420289,57
2,-62.17391304347825,0,0.984251968503937,57
3,-59.11363636363637,3,0.9868421052631579,57
4,-45.8181818181818,16,1.0,57
5,-44.12244897959182,17,0.9880952380952381,57
6,-42.148936170212764,19,1.0,57
7,-41.55000000000001,19,1.0,57
8,-41.589743589743584,19,1.0,57
9,-51.99999999999997,19,1.0,57
10,-57.392857142857125,19,1.0,73
11,-70.0,19,1.0,85
12,-20.0,78,0.796875,85
13,-28.0,78,0.9230769230769231,85
14,-27.0,78,0.9732142857142857,85
15,-27.0,78,0.9710144927536232,85
16,-28.0,78,0.9868421052631579,85
17,-17.0,89,1.0,85
18,-16.0,89,1.0,85
19,-18.0,89,1.0,85
20,-13.0,94,1.0,85
21,-15.0,94,1.0,85
22,-15.0,94,1.0,85
23,2.0,96,1.0,104
