,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-5.661764705882347,0,0.7037037037037037,0
1,-4.882352941176467,0,0.7346938775510204,0
2,-4.97959183673469,0,0.7321428571428571,0
3,-5.540983606557376,0,0.7692307692307693,0
4,-3.754716981132078,1,0.8015267175572519,0
5,-5.515151515151516,1,0.8601398601398601,0
6,-9.95555555555556,1,0.9645669291338582,13
7,-22.53488372093022,1,1.0,13
8,-29.395061728395056,1,1.0,13
9,-19.615384615384617,10,1.0,13
10,-19.063829787234038,10,1.0,24
11,-34.0,10,1.0,34
12,-31.0,17,0.8269230769230769,42
13,13.0,67,0.3916083916083916,42
14,13.0,67,0.4461538461538462,42
15,13.0,67,0.6746031746031746,42
16,6.0,67,0.6639344262295082,42
17,7.0,67,0.7515923566878981,42
18,8.0,67,0.838150289017341,53
19,1.0,67,0.7468354430379747,53
20,-2.0,67,0.8754578754578755,53
21,-5.0,67,1.0,62
22,-6.0,67,1.0,62
23,-19.0,67,1.0,64
