,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-11.81045751633985,0,0.7708333333333334,0
1,1.0909090909090915,12,0.8292682926829268,0
2,1.1315789473684212,12,0.85625,0
3,0.6122448979591837,12,0.8411764705882353,0
4,-0.55072463768116,12,0.9548872180451128,8
5,-8.020833333333336,12,0.9357798165137615,8
6,-19.696202531645557,12,0.984375,8
7,-22.82222222222221,12,1.0,8
8,-23.500000000000007,12,1.0,8
9,-20.56,15,1.0,8
10,-21.958677685950406,15,1.0,8
11,-31.0,15,1.0,26
12,-30.0,25,0.8046875,26
13,-29.0,25,0.8488372093023255,26
14,-30.0,25,0.8461538461538461,32
15,-36.0,25,0.9236641221374046,45
16,-43.0,25,0.9381443298969072,45
17,-50.0,25,1.0,51
18,-49.0,25,1.0,51
19,-49.0,25,1.0,51
20,-51.0,25,1.0,51
21,-53.0,25,1.0,51
22,-50.0,27,1.0,51
23,-49.0,27,1.0,58
