,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-6.212389380530971,0,0.7887323943661971,0
1,-5.3157894736842115,0,0.6974789915966386,0
2,-4.146341463414635,1,0.6346153846153846,0
3,-3.374999999999999,1,0.5789473684210527,0
4,-3.108695652173914,1,0.653179190751445,0
5,-3.1555555555555546,1,0.7272727272727273,13
6,-16.499999999999993,1,0.7733333333333333,13
7,-16.93333333333333,1,0.8205128205128205,13
8,-16.96825396825395,1,0.8733850129198967,13
9,-9.016393442622956,9,0.8584905660377359,13
10,-4.369565217391305,13,1.0,13
11,-17.0,13,1.0,19
12,-8.0,30,0.4787234042553192,19
13,-8.0,30,0.5630252100840336,19
14,-8.0,30,0.6363636363636364,28
15,-17.0,30,0.680672268907563,28
16,-6.0,42,0.773972602739726,28
17,-10.0,42,0.8198198198198198,28
18,-12.0,42,0.8930817610062893,28
19,-9.0,42,0.9943502824858758,28
20,-7.0,44,1.0,28
21,-11.0,44,1.0,28
22,-8.0,47,1.0,39
23,-9.0,47,1.0,51
