,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-8.845070422535212,6,0.5495495495495496,0
1,0.18644067796610117,15,0.5523809523809524,6
2,-5.551724137931035,15,0.6504065040650406,6
3,-10.305084745762706,15,0.6564885496183206,22
4,-21.71428571428571,15,0.6836734693877551,35
5,-34.1904761904762,15,0.8036529680365296,35
6,-35.177777777777806,15,0.8396624472573839,40
7,-38.53125,15,0.896774193548387,40
8,-17.16666666666668,26,1.0,40
9,-7.170731707317077,36,1.0,40
10,-8.197674418604658,36,1.0,40
11,-19.0,36,1.0,47
12,-5.0,45,0.4140625,47
13,-4.0,45,0.41007194244604317,47
14,-2.0,47,0.3525641025641026,47
15,-4.0,47,0.39823008849557523,49
16,-5.0,47,0.31496062992125984,49
17,47.0,97,0.09090909090909091,49
18,46.0,97,0.07905138339920949,49
19,46.0,97,0.13740458015267176,49
20,44.0,97,0.2523076923076923,49
21,48.0,100,0.0,49
22,49.0,100,0.0,49
23,51.0,101,0.0,49
