,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-24.14150943396226,0,0.5384615384615384,0
1,-2.0694444444444438,16,0.37209302325581395,0
2,0.4736842105263158,16,0.35714285714285715,0
3,2.4324324324324325,18,0.30994152046783624,0
4,0.9375000000000003,18,0.42045454545454547,0
5,-0.0952380952380946,18,0.5665024630541872,0
6,-0.8399999999999996,18,0.8722466960352423,13
7,-1.4237288135593225,18,1.0,13
8,-1.6181818181818184,18,1.0,13
9,5.339622641509436,25,1.0,13
10,13.326923076923082,33,1.0,13
11,17.0,33,1.0,65
12,-45.0,33,0.8181818181818182,65
13,-41.0,37,0.7916666666666666,65
14,-46.0,37,0.9761904761904762,65
15,-49.0,37,0.981651376146789,65
16,-37.0,50,0.9935064935064936,65
17,-32.0,55,1.0,65
18,-32.0,55,1.0,65
19,-33.0,55,1.0,65
20,-31.0,56,1.0,65
21,-33.0,56,1.0,65
22,-41.0,56,1.0,83
23,-40.0,56,1.0,94
