,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-117.59016393442624,11,0.7722772277227723,0
1,6.28125,11,0.6875,0
2,6.234375,11,0.7407407407407407,0
3,-5.433962264150946,11,0.696969696969697,0
4,-5.612903225806453,11,0.7706422018348624,0
5,1.9375,18,0.732824427480916,0
6,0.8288288288288286,18,0.803921568627451,0
7,-10.81578947368421,18,0.9274193548387096,0
8,-13.000000000000007,18,1.0,0
9,-17.447761194029866,18,1.0,0
10,-23.126984126984112,18,1.0,6
11,-34.0,18,1.0,38
12,-43.0,18,0.9827586206896551,46
13,-47.0,18,1.0,46
14,-48.0,18,1.0,46
15,-40.0,27,1.0,46
16,-37.0,28,1.0,46
17,-41.0,28,1.0,46
18,-35.0,31,1.0,46
19,-19.0,42,1.0,46
20,-20.0,42,1.0,46
21,-20.0,42,1.0,46
22,-22.0,42,1.0,46
23,-21.0,42,1.0,58
