,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,1.8732394366197167,6,0.3563218390804598,0
1,2.8076923076923084,6,0.32,0
2,11.739999999999997,15,0.1937984496124031,0
3,11.78723404255319,15,0.25,0
4,23.760869565217376,27,0.21739130434782608,0
5,23.324324324324333,27,0.03867403314917127,0
6,19.630434782608702,27,0.06132075471698113,0
7,18.697368421052637,27,0.10382513661202186,0
8,28.782608695652172,37,0.2801120448179272,0
9,27.647058823529424,37,0.6103896103896104,0
10,21.549999999999994,37,0.0,0
11,21.0,41,0.0,13
12,11.0,41,0.3815789473684211,19
13,5.0,41,0.38235294117647056,19
14,18.0,48,0.3125,19
15,21.0,50,0.33663366336633666,19
16,16.0,50,0.3918918918918919,19
17,39.0,69,0.24031007751937986,19
18,42.0,71,0.3755656108597285,19
19,41.0,71,0.5526315789473685,24
20,-2505.0,71,0.9528301886792453,76
21,-7.0,71,1.0,76
22,-7.0,71,1.0,76
23,-11.0,71,1.0,76
