,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-6.556818181818185,0,0.5882352941176471,0
1,-2.1111111111111103,13,0.7083333333333334,0
2,-12.237288135593234,13,0.66,0
3,-6.312499999999996,19,0.7555555555555555,6
4,-11.559999999999988,19,0.7637795275590551,6
5,-11.571428571428566,19,0.8873239436619719,6
6,-11.808510638297886,19,0.9016393442622951,6
7,-13.72807017543858,19,0.9375,6
8,-13.363636363636367,19,1.0,6
9,-13.923611111111134,19,1.0,6
10,-12.339622641509436,21,1.0,6
11,-19.0,21,1.0,28
12,-29.0,23,0.9180327868852459,35
13,-26.0,23,0.9636363636363636,35
14,-23.0,26,0.9836065573770492,35
15,-21.0,30,0.9905660377358491,35
16,-28.0,30,0.989010989010989,35
17,-38.0,30,1.0,35
18,-37.0,30,1.0,35
19,-44.0,30,1.0,35
20,-42.0,30,1.0,35
21,-43.0,30,1.0,35
22,-43.0,30,1.0,44
23,-42.0,30,1.0,65
