,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-11.674698795180706,0,0.9344262295081968,0
1,-5.320754716981137,7,0.8732394366197183,0
2,-5.78125,7,0.9166666666666666,0
3,-5.523809523809524,16,0.9285714285714286,16
4,-11.823529411764698,16,0.9827586206896551,16
5,-12.735849056603776,16,0.9714285714285714,16
6,-12.204545454545453,16,1.0,16
7,-13.517857142857139,16,1.0,16
8,-13.13953488372093,16,1.0,16
9,-14.13636363636363,16,1.0,16
10,-13.714285714285719,16,1.0,16
11,-12.0,16,1.0,24
12,-11.0,27,0.6534653465346535,24
13,-11.0,27,0.7,24
14,-11.0,27,0.6324786324786325,24
15,-11.0,27,0.6493506493506493,24
16,-4.0,35,0.5169491525423728,24
17,-4.0,35,0.5524475524475524,24
18,-3.0,35,0.5396825396825397,24
19,-11.0,35,0.8371040723981901,24
20,-14.0,35,0.8157894736842105,24
21,-2.0,47,1.0,24
22,-3.0,49,1.0,24
23,6.0,49,1.0,40
