,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,4.691056910569109,12,0.5526315789473685,0
1,6.187500000000002,16,0.9315068493150684,50
2,-40.63829787234041,16,0.975,100
3,-88.60869565217386,16,1.0,100
4,-94.5,16,1.0,100
5,-90.05882352941174,23,1.0,100
6,-83.01492537313433,23,1.0,100
7,-76.38095238095235,28,1.0,100
8,-75.67500000000004,28,1.0,100
9,-81.60000000000001,28,1.0,100
10,-83.66666666666666,28,1.0,100
11,-79.0,35,1.0,106
12,-24.0,96,0.75,106
13,-24.0,96,0.8846153846153846,106
14,-25.0,96,0.9722222222222222,106
15,-33.0,96,0.9833333333333333,106
16,-42.0,96,0.9861111111111112,128
17,-43.0,96,1.0,128
18,-43.0,96,1.0,128
19,-45.0,96,1.0,128
20,-38.0,103,1.0,128
21,-27.0,113,1.0,128
22,-26.0,113,1.0,128
23,-26.0,113,1.0,137
