,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-23.493150684931486,0,0.4,0
1,0.9838709677419353,12,0.5909090909090909,0
2,9.111111111111104,18,0.9431818181818182,50
3,-40.13333333333337,18,1.0,50
4,-36.891891891891895,18,1.0,50
5,-35.12698412698415,20,1.0,50
6,-36.18399999999997,20,1.0,50
7,-42.56756756756753,20,1.0,50
8,-51.98198198198202,20,1.0,50
9,-59.342465753424605,20,1.0,50
10,-60.63025210084029,20,1.0,51
11,-59.0,20,1.0,76
12,-18.0,70,0.6515151515151515,76
13,-20.0,70,0.6428571428571429,76
14,-23.0,70,0.7391304347826086,76
15,-30.0,70,0.6875,76
16,-19.0,83,0.8679245283018868,76
17,-15.0,85,0.8979591836734694,76
18,-19.0,85,0.9743589743589743,76
19,-18.0,85,0.9934640522875817,76
20,-20.0,85,1.0,76
21,-17.0,88,1.0,76
22,-5.0,98,1.0,85
23,-6.0,98,1.0,102
