,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-16.171717171717194,0,0.6176470588235294,0
1,-11.756756756756756,10,0.926829268292683,63
2,-59.95918367346939,10,1.0,63
3,-56.48979591836735,10,1.0,63
4,-49.555555555555515,22,1.0,63
5,-44.354166666666664,22,1.0,63
6,-38.52173913043476,31,1.0,63
7,-38.53333333333333,31,1.0,63
8,-32.28125,40,1.0,63
9,-26.936507936507905,40,1.0,63
10,-21.355555555555547,46,1.0,63
11,-22.0,46,1.0,63
12,-31.0,46,1.0,63
13,-25.0,54,0.95,63
14,-23.0,54,0.9710144927536232,63
15,-23.0,54,0.9736842105263158,63
16,-24.0,54,0.9882352941176471,63
17,-24.0,54,1.0,63
18,-24.0,55,1.0,63
19,-16.0,61,1.0,63
20,-18.0,61,1.0,63
21,-20.0,61,1.0,63
22,-27.0,61,1.0,63
23,-22.0,61,1.0,89
