,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-9.02678571428571,0,0.3448275862068966,0
1,1.700000000000001,13,0.35714285714285715,0
2,-3.035087719298248,13,0.5087719298245614,0
3,-8.040816326530612,13,0.44285714285714284,0
4,-8.699999999999996,13,0.5393258426966292,0
5,-7.897959183673466,13,0.4791666666666667,0
6,-6.638888888888887,14,0.3816793893129771,0
7,-7.435897435897433,14,0.5664335664335665,0
8,-8.404761904761905,14,0.64,0
9,-2.333333333333333,20,0.3490909090909091,0
10,-2.307692307692309,20,0.0,0
11,-2.0,20,0.0,18
12,42.0,72,0.109375,18
13,94.0,124,0.043478260869565216,18
14,92.0,124,0.014705882352941176,18
15,83.0,124,0.03571428571428571,18
16,83.0,124,0.043478260869565216,18
17,82.0,124,0.027777777777777776,18
18,91.0,133,0.0,18
19,92.0,133,0.031496062992125984,18
20,84.0,133,0.0,18
21,84.0,133,0.0,18
22,76.0,133,0.0,25
23,75.0,133,0.0,55
