,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-25.31325301204821,0,0.925,7
1,-23.79166666666666,0,0.9642857142857143,7
2,-20.760869565217387,3,0.890625,7
3,-18.840909090909083,5,0.8961038961038961,7
4,-18.591836734693874,5,0.9090909090909091,7
5,-18.54347826086957,5,0.9764705882352941,7
6,-13.444444444444432,10,0.9583333333333334,7
7,-16.783783783783786,10,0.9870967741935484,7
8,-5.750000000000001,21,1.0,7
9,-8.042857142857136,21,1.0,7
10,-4.796610169491521,23,1.0,7
11,-26.0,23,1.0,24
12,-18.0,31,0.6296296296296297,24
13,-19.0,31,0.813953488372093,24
14,-14.0,37,0.6666666666666666,24
15,-10.0,39,0.8333333333333334,24
16,-17.0,39,0.8695652173913043,24
17,-16.0,39,0.8163265306122449,24
18,-18.0,39,0.8472222222222222,24
19,-19.0,39,0.8727272727272727,24
20,-9.0,48,0.9242424242424242,24
21,-11.0,48,1.0,24
22,-9.0,48,1.0,30
23,-10.0,48,1.0,30
