,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-14.625000000000016,0,0.7777777777777778,16
1,-19.42857142857142,0,0.8813559322033898,16
2,-25.966666666666637,0,0.8153846153846154,16
3,-29.98039215686277,0,0.8947368421052632,16
4,-31.309523809523792,0,0.9428571428571428,27
5,-42.1219512195122,0,0.948051948051948,27
6,-40.29411764705882,13,1.0,101
7,-91.02941176470586,13,1.0,101
8,-92.71739130434784,13,1.0,101
9,-93.89772727272728,13,1.0,101
10,-82.92307692307695,23,1.0,101
11,-84.0,23,1.0,101
12,-90.0,23,1.0,101
13,-79.0,33,1.0,101
14,-79.0,33,1.0,101
15,-77.0,35,1.0,101
16,-72.0,40,1.0,101
17,-72.0,40,1.0,101
18,-71.0,41,1.0,101
19,-70.0,41,1.0,101
20,-70.0,41,1.0,101
21,-55.0,49,1.0,101
22,-54.0,49,1.0,101
23,-55.0,49,1.0,101
