,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-16.465909090909083,0,0.6875,0
1,-0.9019607843137251,13,0.7678571428571429,0
2,-1.7872340425531905,13,0.7615384615384615,7
3,-8.680000000000001,13,0.8357142857142857,7
4,-6.750000000000001,15,0.84,7
5,-6.772727272727267,15,0.8554913294797688,7
6,-7.56818181818182,15,0.9298245614035088,7
7,-7.613636363636365,15,1.0,7
8,-8.045454545454543,15,1.0,7
9,-0.1428571428571424,23,1.0,7
10,-13.473684210526313,23,1.0,19
11,-19.0,23,1.0,29
12,-8.0,34,0.484375,29
13,-5.0,37,0.4825174825174825,29
14,-4.0,37,0.46511627906976744,29
15,-1.0,43,0.5619834710743802,29
16,0.0,43,0.6782608695652174,29
17,1.0,43,0.7098765432098766,29
18,0.0,43,0.6629213483146067,42
19,-2.0,43,0.7709251101321586,42
20,-3.0,43,0.8150470219435737,42
21,-8.0,43,0.8670520231213873,42
22,-16.0,43,1.0,42
23,-12.0,45,1.0,46
