,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-10.349056603773581,0,0.625,0
1,3.666666666666664,13,0.6739130434782609,0
2,12.893617021276604,18,0.6666666666666666,12
3,1.4905660377358487,18,0.686046511627907,12
4,0.15277777777777782,18,0.8,12
5,0.03333333333333323,18,0.8545454545454545,19
6,-7.703703703703712,18,0.9102564102564102,26
7,-9.512820512820511,20,0.8525641025641025,26
8,-13.652173913043486,20,1.0,26
9,-16.557377049180346,20,1.0,26
10,-24.041237113402016,20,1.0,30
11,-31.0,20,1.0,33
12,-24.0,29,0.75,33
13,-22.0,29,0.8,50
14,20.0,79,0.07894736842105263,50
15,18.0,79,0.125,50
16,18.0,79,0.08235294117647059,50
17,20.0,80,0.09523809523809523,50
18,34.0,88,0.06315789473684211,50
19,33.0,88,0.12258064516129032,50
20,43.0,98,0.1921182266009852,50
21,43.0,98,0.0,50
22,43.0,98,0.0,50
23,42.0,98,0.0,52
