,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,60.045454545454504,63,0.09375,0
1,58.68421052631584,63,0.10909090909090909,0
2,60.65454545454549,65,0.1016949152542373,9
3,51.807692307692335,65,0.078125,9
4,51.739999999999974,65,0.07894736842105263,9
5,50.619047619047585,65,0.10309278350515463,9
6,49.7441860465116,65,0.05263157894736842,9
7,52.95744680851061,72,0.11458333333333333,9
8,53.806451612903196,72,0.49295774647887325,26
9,93.14814814814815,122,0.5,26
10,91.91666666666669,122,0.0,26
11,90.0,122,0.0,26
12,136.0,174,0.015873015873015872,26
13,128.0,174,0.0,26
14,204.0,242,0.0,26
15,200.0,242,0.0,26
16,206.0,245,0.0,26
17,210.0,249,0.0,26
18,203.0,249,0.0,26
19,217.0,257,0.0,26
20,215.0,257,0.0,26
21,215.0,257,0.0,26
22,216.0,257,0.0,26
23,212.0,257,0.0,37
