,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-10.922535211267606,0,0.9310344827586207,0
1,1.642857142857142,6,0.8653846153846154,0
2,7.694915254237287,12,0.9038461538461539,6
3,1.8771929824561406,12,0.8958333333333334,6
4,1.7777777777777772,12,0.9344262295081968,6
5,1.2727272727272723,12,0.9375,6
6,3.25581395348837,14,0.9477611940298507,6
7,3.352941176470589,14,1.0,18
8,-8.868421052631575,14,1.0,18
9,-9.000000000000004,14,1.0,18
10,-9.857142857142858,14,1.0,18
11,-20.0,14,1.0,28
12,-13.0,27,0.9090909090909091,28
13,-12.0,27,0.8571428571428571,28
14,-13.0,27,0.796875,28
15,-14.0,27,0.8235294117647058,28
16,-22.0,27,0.8615384615384616,28
17,-17.0,30,0.8163265306122449,35
18,-23.0,30,0.8849557522123894,35
19,-25.0,30,0.8648648648648649,40
20,-26.0,30,0.9536082474226805,40
21,-15.0,41,1.0,40
22,-5.0,49,1.0,50
23,-7.0,49,1.0,50
