,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-5.5242718446602,0,0.8235294117647058,0
1,7.123076923076929,12,0.8222222222222222,0
2,7.120689655172411,12,0.7142857142857143,0
3,18.404761904761912,23,0.6022727272727273,0
4,11.701149425287355,23,0.5901639344262295,0
5,11.961538461538463,23,0.7701149425287356,0
6,11.63333333333333,23,0.8484848484848485,0
7,12.040816326530614,23,0.9230769230769231,12
8,7.297297297297298,23,1.0,12
9,5.114285714285712,23,1.0,12
10,3.155555555555556,28,1.0,21
11,4.0,28,1.0,34
12,36.0,79,0.18461538461538463,34
13,34.0,79,0.15,34
14,93.0,136,0.02666666666666667,34
15,146.0,189,0.0,34
16,142.0,189,0.0,34
17,152.0,196,0.0,34
18,151.0,196,0.0,34
19,149.0,196,0.0,34
20,167.0,205,0.0,34
21,167.0,205,0.0,34
22,178.0,216,0.0,34
23,177.0,216,0.0,34
