,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-6.964071856287416,0,0.9444444444444444,0
1,-5.558823529411762,2,0.8947368421052632,8
2,-9.92857142857143,2,0.9863013698630136,8
3,-6.018867924528304,6,0.9882352941176471,8
4,-6.12,6,0.9901960784313726,17
5,-15.0,6,1.0,17
6,-16.2247191011236,6,1.0,17
7,-11.000000000000002,11,1.0,17
8,-8.195652173913043,14,1.0,17
9,-9.493333333333336,14,1.0,17
10,-9.30666666666667,14,1.0,17
11,-8.0,14,1.0,17
12,-18.0,14,0.7407407407407407,17
13,-16.0,16,0.7575757575757576,17
14,-9.0,23,0.6730769230769231,17
15,-2.0,31,0.7471264367816092,17
16,-1.0,31,0.7659574468085106,17
17,-1.0,31,0.8076923076923077,30
18,-11.0,31,0.9890710382513661,41
19,-21.0,31,1.0,41
20,-22.0,31,1.0,41
21,-10.0,43,1.0,41
22,-3.0,49,1.0,41
23,4.0,49,1.0,51
