,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-5.8429752066115785,0,0.782608695652174,0
1,6.131147540983605,11,0.7936507936507936,0
2,12.48837209302326,17,0.7745098039215687,0
3,14.39024390243903,19,0.7192982456140351,0
4,3.791044776119402,19,0.9354838709677419,0
5,3.020833333333332,19,0.8257575757575758,0
6,2.7647058823529416,19,1.0,0
7,-5.297872340425531,19,1.0,0
8,-5.0625,19,1.0,0
9,4.352941176470589,28,1.0,0
10,2.8200000000000016,28,1.0,0
11,2.0,28,1.0,33
12,0.0,41,0.509090909090909,33
13,-1.0,41,0.6428571428571429,33
14,-2.0,41,0.5362318840579711,33
15,-6.0,41,0.6125,39
16,45.0,91,0.13846153846153847,39
17,43.0,91,0.11650485436893204,39
18,39.0,91,0.011976047904191617,39
19,39.0,91,0.058823529411764705,43
20,91.0,141,0.0,43
21,89.0,141,0.0,43
22,96.0,148,0.0,43
23,92.0,148,0.0,43
