,MCTS,Expectiminimax
0,39,61
1,106,94
2,163,37
3,49,51
4,159,41
5,230,20
6,96,104
7,42,58
8,34,116
9,39,61
10,37,63
11,72,28
12,48,52
13,357,43
14,44,56
15,161,39
16,40,60
17,62,38
18,123,77
19,73,77
20,87,63
21,102,98
22,266,34
23,205,45
24,86,64
25,47,53
26,61,39
27,48,52
28,96,104
29,294,6
30,40,60
31,96,154
32,48,52
33,43,57
34,134,16
35,49,51
36,51,49
37,62,38
38,55,45
39,210,40
40,96,104
41,146,54
42,151,49
43,317,33
44,369,31
45,119,31
46,45,55
47,298,2
48,44,56
49,38,112
