,MCTS,Expectiminimax
0,235,15
1,53,47
2,47,53
3,86,64
4,268,32
5,54,46
6,103,97
7,105,95
8,107,93
9,37,63
10,52,48
11,48,102
12,28,72
13,53,47
14,41,59
15,187,63
16,32,68
17,43,57
18,362,38
19,49,51
20,93,107
21,170,30
22,112,38
23,52,48
24,61,89
25,99,51
26,60,40
27,47,53
28,281,19
29,46,54
30,48,52
31,202,98
32,52,48
33,58,92
34,40,60
35,48,52
36,51,49
37,96,104
38,48,52
39,39,61
40,56,44
41,264,36
42,122,78
43,47,53
44,51,49
45,61,89
46,101,99
47,117,33
48,227,23
49,151,49
