,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-6.811881188118817,0,0.0
1,11,4.6078431372549025,0,0.3333333333333333
2,11,5.461538461538464,0,0.375
3,15,9.509803921568626,0,0.125
4,15,9.674418604651168,0,0.12
5,24,18.40816326530611,0,0.0
6,24,18.54347826086957,0,0.0
7,24,17.92156862745098,0,0.0
8,35,29.405405405405403,0,0.0
9,37,32.72727272727274,0,0.0
10,37,30.8045977011494,0,0.0
11,37,32.0,0,0.0
12,98,84.0,0,0.0
13,98,82.0,0,0.0
14,100,84.0,0,0.0
15,100,85.0,0,0.0
16,101,81.0,0,0.0
17,107,87.0,0,0.0
18,107,81.0,0,0.0
19,119,103.0,0,0.0
20,125,109.0,0,0.0
21,125,109.0,0,0.0
22,125,108.0,0,0.0
23,125,108.0,0,0.0
