,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-4.985611510791355,0,0.0
1,0,-4.180555555555556,0,0.0
2,0,-3.693877551020406,0,0.0
3,0,-9.782608695652174,6,0.25
4,62,52.46875,6,0.0
5,120,110.64516129032255,6,0.0
6,170,160.56666666666672,6,0.0
7,170,150.04444444444448,6,0.0
8,170,150.25714285714287,6,0.0
9,180,169.88095238095235,6,0.0
10,180,169.8636363636364,6,0.0
11,180,171.0,57,0.0
12,180,108.0,57,0.0
13,191,118.0,57,0.0
14,242,171.0,57,0.0
15,242,157.0,57,0.0
16,246,161.0,57,0.0
17,246,162.0,57,0.0
18,254,174.0,57,0.0
19,254,174.0,57,0.0
20,254,164.0,57,0.0
21,254,163.0,57,0.0
22,270,190.0,64,0.0
23,270,188.0,78,0.0
