,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-4.3125,0,0.5
1,8,1.1509433962264148,0,0.4444444444444444
2,12,5.1923076923076925,0,0.0
3,14,9.408163265306126,0,0.0
4,14,8.957264957264943,0,0.23076923076923078
5,20,3.9038461538461537,0,0.0
6,25,9.763157894736842,0,0.0
7,25,9.171875,0,0.0
8,25,9.11475409836066,0,0.0
9,25,6.830508474576267,0,0.0
10,27,11.021739130434785,0,0.0
11,27,10.0,11,0.0
12,27,2.0,11,0.25
13,34,8.0,11,0.0
14,34,8.0,11,0.07692307692307693
15,47,22.0,11,0.058823529411764705
16,50,25.0,11,0.0
17,107,82.0,11,0.0
18,107,71.0,11,0.0
19,107,62.0,11,0.0
20,107,61.0,11,0.0
21,107,62.0,21,0.0
22,107,63.0,21,0.0
23,107,63.0,43,0.0
