,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-12.301675977653652,0,0.0
1,12,5.060606060606059,0,0.08333333333333333
2,27,22.614035087719277,0,0.07142857142857142
3,30,25.418181818181807,0,0.0
4,36,31.5,0,0.24
5,36,31.872340425531924,0,0.08571428571428572
6,36,31.244897959183668,0,0.0
7,36,31.717391304347817,0,0.0
8,36,31.813953488372096,0,0.0
9,36,31.297872340425535,0,0.0
10,36,20.392857142857135,10,0.0
11,36,17.0,10,0.0
12,51,30.0,10,0.0
13,60,38.0,10,0.0
14,62,41.0,10,0.0
15,62,41.0,10,0.0
16,74,53.0,10,0.0
17,74,53.0,10,0.0
18,81,61.0,10,0.0
19,89,77.0,10,0.0
20,89,77.0,10,0.0
21,89,77.0,10,0.0
22,89,75.0,10,0.0
23,89,73.0,11,0.0
