,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-9.165217391304335,0,0.5
1,14,8.707692307692295,0,0.6666666666666666
2,14,9.568965517241377,0,0.3333333333333333
3,16,11.535714285714286,0,0.6
4,16,12.152173913043477,0,0.5
5,16,5.266666666666667,0,0.3333333333333333
6,23,18.814814814814824,0,0.4827586206896552
7,23,18.54761904761905,0,0.847457627118644
8,23,18.28947368421053,0,0.961038961038961
9,23,17.205882352941178,0,1.0
10,23,15.978021978021955,11,1.0
11,23,5.0,75,1.0
12,23,-66.0,75,0.8333333333333334
13,73,-15.0,75,1.0
14,73,-17.0,75,0.45454545454545453
15,73,-17.0,75,0.5454545454545454
16,74,-16.0,75,0.46153846153846156
17,82,-8.0,75,0.5
18,82,-11.0,75,0.75
19,82,-10.0,75,0.696969696969697
20,82,-12.0,75,0.9577464788732394
21,91,-9.0,75,0.9927007299270073
22,91,-15.0,75,1.0
23,91,-11.0,92,1.0
