,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-13.860759493670901,0,0.0
1,7,0.015384615384615496,0,0.6
2,13,2.2435897435897436,0,0.25
3,13,3.6530612244897958,0,0.4117647058823529
4,13,3.5744680851063837,0,0.25
5,13,3.4888888888888885,0,0.44
6,13,3.395348837209301,0,0.39473684210526316
7,19,14.645833333333325,0,0.1016949152542373
8,30,25.61702127659573,0,0.0
9,30,24.576923076923077,0,0.0
10,30,11.576923076923068,0,0.0
11,32,17.0,13,0.0
12,32,6.0,13,0.25
13,38,11.0,13,0.0
14,38,8.0,13,0.0
15,52,25.0,13,0.0
16,53,26.0,13,0.0
17,103,77.0,13,0.0
18,103,77.0,13,0.0
19,103,68.0,13,0.0
20,111,75.0,13,0.0
21,111,73.0,13,0.0
22,116,80.0,22,0.0
23,116,92.0,22,0.0
