,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,50,46.750000000000036,0,0.0
1,100,96.82857142857137,0,0.0
2,100,91.58490566037737,0,0.0
3,100,91.042372881356,0,0.0
4,110,104.96428571428574,0,0.0
5,120,115.08571428571435,0,0.0
6,127,122.29850746268657,0,0.0
7,127,122.60465116279063,0,0.0
8,127,121.26415094339623,0,0.0
9,127,109.17105263157893,0,0.0
10,127,108.7101449275361,0,0.0
11,127,104.0,1,0.0
12,127,93.0,1,0.0
13,127,91.0,1,0.0
14,134,102.0,1,0.0
15,144,114.0,1,0.0
16,152,122.0,1,0.0
17,152,121.0,1,0.0
18,162,131.0,1,0.0
19,163,136.0,1,0.0
20,163,123.0,1,0.0
21,163,123.0,1,0.0
22,163,122.0,13,0.0
23,163,135.0,37,0.0
