,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,58,54.90909090909094,0,0.0
1,110,107.02857142857142,0,0.0
2,160,156.97058823529414,0,0.0
3,210,206.90909090909096,0,0.0
4,260,256.84375,0,0.0
5,260,255.3409090909092,0,0.0
6,271,258.64,0,0.0
7,271,258.2372881355931,0,0.0
8,289,284.016666666667,0,0.0
9,289,283.41071428571416,0,0.0
10,289,284.88,0,0.0
11,289,287.0,0,0.0
12,289,274.0,0,0.0
13,298,282.0,0,0.0
14,302,286.0,0,0.0
15,304,289.0,0,0.0
16,311,296.0,0,0.0
17,311,297.0,0,0.0
18,311,296.0,0,0.0
19,311,296.0,0,0.0
20,311,296.0,0,0.0
21,311,294.0,0,0.0
22,311,280.0,0,0.0
23,311,279.0,27,0.0
