,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,64,61.13636363636362,0,0.0
1,116,112.97142857142865,0,0.0
2,116,111.50000000000009,0,0.0
3,120,115.4716981132076,0,0.0
4,120,115.69767441860462,0,0.0
5,120,116.21052631578954,0,0.0
6,129,125.16216216216216,0,0.0
7,129,124.62500000000004,0,0.0
8,139,134.84615384615387,0,0.0
9,139,133.65000000000003,0,0.0
10,139,119.70731707317064,0,0.0
11,139,122.0,13,0.0
12,200,178.0,13,0.0
13,252,230.0,13,0.0
14,302,280.0,13,0.0
15,355,333.0,13,0.0
16,355,331.0,13,0.0
17,360,336.0,13,0.0
18,367,343.0,13,0.0
19,367,343.0,13,0.0
20,375,353.0,13,0.0
21,375,351.0,13,0.0
22,375,352.0,13,0.0
23,375,345.0,13,0.0
