,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-22.679012345679006,0,0.0
1,10,-4.05128205128205,0,0.09090909090909091
2,20,6.411764705882353,0,0.0625
3,23,9.440000000000003,0,0.0
4,25,7.936170212765953,0,0.0
5,27,9.934782608695652,0,0.0
6,35,18.227272727272723,0,0.0
7,44,29.466666666666683,0,0.0
8,44,28.376811594202877,0,0.0
9,44,15.187500000000005,0,0.0
10,57,28.33684210526312,0,0.0
11,57,28.0,5,0.0
12,68,33.0,5,0.0
13,70,37.0,5,0.0
14,70,37.0,5,0.0
15,70,38.0,5,0.0
16,70,37.0,5,0.0
17,70,38.0,5,0.0
18,70,39.0,5,0.0
19,70,37.0,5,0.0
20,70,38.0,12,0.0
21,70,36.0,12,0.0
22,70,36.0,18,0.0
23,70,35.0,30,0.0
