,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-12.180555555555566,0,0.18181818181818182
1,0,-12.339999999999993,0,0.18181818181818182
2,8,1.2448979591836733,0,0.2857142857142857
3,10,5.580000000000003,0,0.29411764705882354
4,14,9.127659574468085,0,0.22727272727272727
5,14,9.350000000000003,0,0.5625
6,24,19.41860465116279,0,0.2619047619047619
7,30,18.589743589743595,0,0.8
8,31,19.955555555555563,0,0.47692307692307695
9,31,19.19148936170214,0,0.3135593220338983
10,31,13.437500000000004,0,1.0
11,31,-1.0,22,1.0
12,38,-5.0,22,0.0
13,38,-5.0,22,0.3
14,38,-5.0,22,0.09090909090909091
15,38,-5.0,22,0.14285714285714285
16,38,-11.0,22,0.058823529411764705
17,55,11.0,22,0.0
18,55,10.0,22,0.0
19,55,10.0,22,0.0
20,55,8.0,22,0.0
21,55,6.0,22,0.0
22,55,7.0,34,0.0
23,55,5.0,36,0.0
