,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-3.6290322580645142,0,0.1111111111111111
1,9,3.6600000000000024,0,0.25
2,11,4.820000000000003,0,0.0
3,11,0.9360000000000008,0,0.0
4,23,17.054794520547937,0,0.0
5,75,71.80645161290326,0,0.0
6,75,70.19565217391303,0,0.0
7,75,70.09090909090907,0,0.0
8,75,69.75675675675673,0,0.0
9,75,69.60000000000001,0,0.0
10,75,56.724637681159436,0,0.0
11,75,52.0,11,0.0
12,89,64.0,11,0.0
13,101,76.0,11,0.0
14,104,79.0,11,0.0
15,104,79.0,11,0.0
16,114,89.0,11,0.0
17,119,94.0,11,0.0
18,119,94.0,11,0.0
19,119,94.0,11,0.0
20,119,94.0,11,0.0
21,119,86.0,11,0.0
22,119,85.0,11,0.0
23,133,113.0,11,0.0
