,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,4,-222.9247311827957,0,0.0
1,60,56.82857142857141,0,0.0
2,60,55.215686274509814,0,0.0
3,60,54.91228070175438,0,0.0
4,71,61.388888888888864,0,0.0
5,83,78.70212765957444,0,0.0
6,83,77.78947368421056,0,0.0
7,83,78.16981132075472,0,0.0
8,83,76.75384615384624,0,0.0
9,83,65.93283582089549,0,0.0
10,85,69.88709677419357,0,0.0
11,85,70.0,1,0.0
12,85,66.0,1,0.0
13,95,75.0,1,0.0
14,116,105.0,1,0.0
15,166,156.0,1,0.0
16,166,154.0,1,0.0
17,166,153.0,1,0.0
18,185,172.0,1,0.0
19,193,188.0,1,0.0
20,193,187.0,1,0.0
21,193,186.0,1,0.0
22,193,184.0,1,0.0
23,193,180.0,3,0.0
