,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-5.135593220338978,0,0.5
1,13,8.963636363636365,0,0.0
2,13,7.925925925925922,0,0.5
3,13,7.870370370370367,10,0.5
4,13,-1.0930232558139525,10,0.38095238095238093
5,64,51.096774193548406,10,0.0
6,64,49.64444444444445,10,0.0
7,68,53.613636363636374,10,0.0
8,68,54.395348837209276,10,0.29411764705882354
9,68,39.70000000000001,10,0.0
10,68,38.911764705882355,16,0.0
11,68,34.0,16,0.0
12,76,36.0,16,0.0
13,83,51.0,16,0.0
14,85,48.0,16,0.0
15,85,49.0,16,0.0
16,101,65.0,16,0.0
17,101,65.0,16,0.0
18,101,64.0,16,0.0
19,106,74.0,16,0.0
20,106,74.0,16,0.0
21,106,74.0,16,0.0
22,106,72.0,27,0.0
23,106,71.0,41,0.0
