,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-12.540106951871639,0,0.8620689655172413,8
1,-7.218181818181812,10,0.8142857142857143,8
2,-6.456521739130436,10,0.7901234567901234,22
3,35.03030303030304,60,0.21052631578947367,22
4,84.96875,110,0.078125,22
5,84.19999999999999,110,0.047244094488188976,29
6,77.23529411764702,110,0.011904761904761904,29
7,75.92753623188413,110,0.0,29
8,74.33695652173914,110,0.0,29
9,61.2913907284769,110,0.0,29
10,65.1558441558442,112,0.0,29
11,65.0,112,0.0,41
12,56.0,112,0.21666666666666667,41
13,107.0,162,0.03260869565217391,41
14,157.0,212,0.0,41
15,210.0,265,0.0,41
16,264.0,319,0.0,41
17,254.0,319,0.0,41
18,249.0,319,0.0,41
19,247.0,319,0.0,41
20,234.0,319,0.0,41
21,233.0,319,0.0,41
22,235.0,319,0.0,42
23,234.0,319,0.0,63
