,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-5.249999999999998,10,0.631578947368421,0
1,-7.499999999999999,10,0.6376811594202898,0
2,-8.839285714285714,10,0.6301369863013698,0
3,-9.455999999999992,10,0.78,0
4,-9.013513513513507,10,0.7741935483870968,0
5,-12.16666666666668,10,0.8857142857142857,0
6,-13.06666666666667,10,0.9324324324324325,0
7,-13.961038961038952,10,1.0,0
8,-13.796296296296292,10,1.0,0
9,-14.362318840579713,10,1.0,0
10,-12.79411764705883,10,1.0,14
11,-19.0,10,1.0,20
12,-31.0,10,0.7432432432432432,28
13,-31.0,10,0.7808219178082192,28
14,-37.0,10,0.9195402298850575,28
15,-24.0,23,0.968421052631579,28
16,-31.0,23,0.9603960396039604,28
17,-39.0,23,0.967391304347826,28
18,-26.0,29,1.0,53
19,-21.0,34,1.0,53
20,-19.0,36,1.0,53
21,-22.0,36,1.0,53
22,-12.0,45,1.0,53
23,-8.0,47,1.0,53
