,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-4.973333333333331,0,0.4,0
1,-6.285714285714281,0,0.5052631578947369,0
2,1.2452830188679243,13,0.6705882352941176,0
3,1.8666666666666658,13,0.6491228070175439,0
4,1.7826086956521734,13,0.6914893617021277,0
5,-0.020000000000000046,13,0.7981651376146789,0
6,2.324324324324324,13,0.7542857142857143,0
7,1.7674418604651154,13,0.8858695652173914,0
8,-0.5333333333333335,13,1.0,0
9,-7.404761904761899,13,1.0,0
10,1.5609756097560985,22,1.0,20
11,-19.0,22,1.0,31
12,-36.0,22,0.9344262295081968,31
13,-22.0,29,0.9298245614035088,31
14,-21.0,29,0.927536231884058,31
15,-23.0,29,0.9361702127659575,31
16,-24.0,29,0.9186046511627907,31
17,-26.0,29,0.9726027397260274,31
18,-18.0,35,0.967741935483871,31
19,-17.0,35,1.0,31
20,-19.0,35,1.0,31
21,-7.0,44,1.0,31
22,-10.0,44,1.0,36
23,-15.0,44,1.0,48
