,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-2.4711538461538454,6,0.8333333333333334,12
1,-9.824561403508774,6,0.84375,12
2,-9.31914893617021,6,0.8625,12
3,-9.180000000000003,6,0.9134615384615384,12
4,-9.912280701754387,6,0.9313725490196079,12
5,-15.771929824561408,6,0.9473684210526315,12
6,-9.793650793650786,13,0.9914529914529915,14
7,-10.792452830188683,13,1.0,14
8,-10.80769230769231,13,1.0,14
9,-14.781249999999991,13,1.0,17
10,-19.44262295081967,13,1.0,27
11,-37.0,13,1.0,50
12,21.0,72,0.18823529411764706,50
13,20.0,72,0.23157894736842105,50
14,21.0,72,0.17647058823529413,50
15,33.0,85,0.1744186046511628,50
16,44.0,96,0.12903225806451613,50
17,44.0,96,0.11564625850340136,50
18,44.0,96,0.2518518518518518,50
19,43.0,96,0.2023121387283237,50
20,41.0,96,0.3333333333333333,50
21,42.0,96,0.7335423197492164,50
22,41.0,96,1.0,51
23,40.0,96,1.0,104
