,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-8.495726495726485,0,0.4411764705882353,0
1,-8.078431372549018,0,0.47540983606557374,0
2,0.7599999999999998,9,0.36923076923076925,0
3,-3.2448979591836724,9,0.38571428571428573,0
4,-1.2765957446808514,11,0.4177215189873418,0
5,-0.8648648648648664,11,0.6821705426356589,0
6,-1.4888888888888894,11,0.9381443298969072,0
7,-7.325581395348839,11,0.9369369369369369,0
8,-7.5853658536585415,11,1.0,0
9,-8.709677419354843,11,1.0,0
10,-8.25,11,1.0,0
11,-20.0,11,1.0,15
12,-31.0,11,0.9,15
13,-27.0,22,0.8823529411764706,15
14,-32.0,22,0.9811320754716981,15
15,-33.0,22,1.0,15
16,-34.0,22,1.0,15
17,-30.0,26,1.0,15
18,-30.0,26,1.0,15
19,-22.0,34,1.0,15
20,-22.0,34,1.0,15
21,-12.0,44,1.0,15
22,-13.0,44,1.0,35
23,-16.0,44,1.0,106
