,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-22.517647058823496,0,0.6818181818181818,0
1,-23.88235294117646,0,0.9482758620689655,16
2,-33.50000000000002,0,0.9571428571428572,16
3,-33.56603773584904,0,0.974025974025974,16
4,-34.11627906976745,0,0.9605263157894737,16
5,-34.561403508771924,0,0.9404761904761905,16
6,-25.58461538461536,9,1.0,18
7,-27.557377049180324,9,1.0,18
8,-5.761904761904757,30,1.0,18
9,-3.756097560975612,32,1.0,18
10,-5.149999999999999,32,1.0,18
11,-6.0,32,1.0,33
12,1.0,43,0.6333333333333333,33
13,3.0,43,0.5,33
14,4.0,43,0.5081967213114754,33
15,1.0,43,0.4936708860759494,33
16,7.0,48,0.4479166666666667,33
17,6.0,48,0.5813953488372093,33
18,6.0,48,0.7010309278350515,33
19,5.0,48,0.7207207207207207,34
20,4.0,48,0.9949494949494949,34
21,4.0,48,1.0,34
22,1.0,48,1.0,41
23,-7.0,48,1.0,41
