,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-5.227642276422774,0,0.2222222222222222
1,10,4.0608108108108105,0,0.0
2,12,6.352272727272725,0,0.0
3,14,9.458823529411763,0,0.058823529411764705
4,14,10.577777777777781,0,0.041666666666666664
5,14,10.42553191489361,0,0.03125
6,14,9.551020408163263,0,0.02631578947368421
7,14,10.112903225806454,0,0.09259259259259259
8,25,20.885714285714286,0,0.0
9,31,26.75,0,0.0
10,31,26.67741935483871,0,0.0
11,31,29.0,0,0.0
12,43,29.0,0,0.0
13,45,31.0,0,0.0
14,48,34.0,0,0.0
15,52,38.0,0,0.0
16,57,43.0,0,0.0
17,63,49.0,0,0.0
18,63,42.0,0,0.0
19,70,55.0,0,0.0
20,70,55.0,0,0.0
21,70,44.0,0,0.0
22,70,46.0,9,0.0
23,78,65.0,22,0.0
