,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,12,8.0,0,0.0
1,14,9.84745762711865,0,0.18181818181818182
2,18,13.754385964912293,0,0.07142857142857142
3,18,13.690909090909086,0,0.05263157894736842
4,25,20.62264150943397,0,0.0
5,25,21.116279069767426,0,0.0
6,25,20.640000000000008,0,0.0
7,25,19.546511627906956,0,0.0
8,25,8.714285714285714,0,0.0
9,25,7.153846153846159,0,0.0
10,25,6.402298850574716,0,0.0
11,25,6.0,13,0.0
12,34,6.0,13,0.625
13,40,11.0,13,0.5
14,42,14.0,13,0.4166666666666667
15,45,17.0,13,0.5714285714285714
16,45,18.0,13,0.6153846153846154
17,50,22.0,13,0.375
18,50,22.0,13,0.41379310344827586
19,50,14.0,13,0.868421052631579
20,50,4.0,13,1.0
21,50,5.0,13,1.0
22,50,5.0,29,1.0
23,50,13.0,100,1.0
