,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,11,5.586538461538467,0,0.125
1,13,8.14666666666667,0,0.3
2,15,10.098591549295774,0,0.08333333333333333
3,21,16.543478260869563,0,0.0
4,21,16.000000000000004,0,0.0
5,21,9.972972972972977,0,0.0
6,28,23.5,0,0.0
7,37,32.68292682926831,0,0.0
8,37,32.65,0,0.0
9,37,25.766666666666666,0,0.0
10,37,26.17391304347827,0,0.0
11,41,32.0,0,0.0
12,41,20.0,0,0.0
13,61,47.0,0,0.0
14,61,47.0,0,0.0
15,64,50.0,0,0.0
16,64,50.0,0,0.0
17,69,55.0,0,0.0
18,69,55.0,0,0.0
19,77,63.0,0,0.0
20,127,113.0,0,0.0
21,177,163.0,0,0.0
22,177,161.0,0,0.0
23,177,163.0,0,0.0
