,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-13.411764705882328,0,0.0
1,9,4.319444444444446,0,0.0
2,72,69.05882352941175,0,0.0
3,72,65.71428571428574,0,0.0
4,75,68.74999999999999,0,0.0
5,80,73.82978723404256,0,0.0
6,80,74.13157894736841,0,0.0
7,92,87.73333333333335,0,0.0
8,92,86.9625,0,0.0
9,92,85.67676767676754,0,0.0
10,92,73.54867256637166,1,0.0
11,92,74.0,63,0.0
12,92,20.0,63,0.0
13,92,20.0,63,0.0
14,151,80.0,63,0.0
15,207,136.0,63,0.0
16,207,135.0,63,0.0
17,207,135.0,63,0.0
18,213,140.0,63,0.0
19,213,140.0,63,0.0
20,213,140.0,63,0.0
21,226,153.0,63,0.0
22,226,153.0,70,0.0
23,226,148.0,70,0.0
