,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,53,49.79545454545454,0,0.0
1,53,-88.3378378378379,0,0.0
2,103,99.23529411764706,0,0.0
3,153,149.15151515151518,0,0.0
4,209,205.25,0,0.0
5,267,263.4193548387098,0,0.0
6,267,262.3541666666668,0,0.0
7,267,262.2391304347826,0,0.0
8,267,255.26153846153835,0,0.0
9,267,253.03418803418816,0,0.0
10,267,252.7614678899082,0,0.0
11,269,259.0,1,0.0
12,285,274.0,1,0.0
13,285,273.0,1,0.0
14,349,338.0,1,0.0
15,399,388.0,1,0.0
16,399,381.0,1,0.0
17,399,381.0,1,0.0
18,417,404.0,1,0.0
19,424,411.0,1,0.0
20,424,409.0,1,0.0
21,436,423.0,10,0.0
22,436,423.0,10,0.0
23,436,418.0,10,0.0
