,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-13.513888888888902,0,0.09090909090909091
1,10,5.452380952380952,0,0.07692307692307693
2,10,5.685185185185184,0,0.35294117647058826
3,13,8.660377358490566,0,0.3157894736842105
4,13,8.857142857142849,0,0.2
5,19,14.787234042553187,0,0.2727272727272727
6,19,15.51111111111112,0,0.22727272727272727
7,19,7.682926829268298,0,0.2571428571428571
8,19,6.772727272727269,0,0.29464285714285715
9,19,5.4545454545454515,0,0.0
10,31,12.285714285714288,8,0.0
11,31,9.0,8,0.0
12,36,6.0,8,1.0
13,36,5.0,8,0.625
14,43,13.0,8,0.8181818181818182
15,48,18.0,8,0.7857142857142857
16,48,17.0,8,0.8
17,49,18.0,8,0.8076923076923077
18,49,18.0,8,0.7837837837837838
19,49,6.0,8,0.7209302325581395
20,49,6.0,8,1.0
21,49,-4.0,8,1.0
22,49,-5.0,32,1.0
23,49,-4.0,45,1.0
