,MCTS,Expectiminimax
0,90,60
1,47,53
2,71,79
3,200,100
4,44,56
5,220,30
6,102,98
7,72,78
8,64,36
9,48,52
10,232,18
11,38,62
12,68,32
13,44,56
14,46,54
15,97,153
16,51,49
17,64,86
18,58,42
19,111,89
20,42,108
21,138,162
22,105,95
23,55,45
24,171,179
25,63,87
26,84,116
27,39,61
28,265,35
29,40,110
30,67,83
31,73,127
32,53,97
33,65,85
34,151,49
35,253,47
36,107,43
37,132,18
38,110,140
39,139,61
40,64,86
41,35,115
42,192,58
43,98,102
44,44,56
45,158,192
46,59,91
47,56,94
48,72,78
49,91,109
