,MCTS,Expectiminimax
0,44,56
1,131,69
2,45,55
3,61,89
4,45,55
5,54,46
6,209,41
7,54,96
8,35,65
9,55,95
10,46,54
11,60,90
12,99,101
13,63,37
14,154,46
15,49,101
16,99,101
17,43,57
18,50,50
19,35,65
20,72,178
21,48,102
22,66,84
23,45,55
24,72,78
25,74,76
26,36,64
27,39,61
28,48,52
29,86,114
30,228,72
31,49,51
32,49,51
33,259,91
34,172,78
35,60,90
36,47,53
37,219,31
38,84,66
39,279,71
40,61,89
41,64,36
42,56,44
43,48,52
44,55,95
45,179,71
46,61,139
47,66,134
48,64,86
49,63,37
