,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,47.749999999999964,51,0.205607476635514,0
1,36.962962962962955,51,0.175,0
2,36.69047619047618,51,0.13186813186813187,0
3,36.839999999999996,51,0.1326530612244898,22
4,25.815789473684212,51,0.15527950310559005,22
5,35.7450980392157,64,0.2653061224489796,22
6,35.54166666666668,64,0.10326086956521739,22
7,35.51063829787233,64,0.0330188679245283,22
8,38.54347826086954,67,0.0,22
9,42.51111111111113,71,0.0,22
10,41.40506329113927,71,0.0,22
11,40.0,71,0.0,24
12,39.0,77,0.047619047619047616,24
13,40.0,77,0.09482758620689655,24
14,46.0,83,0.07936507936507936,24
15,38.0,83,0.13793103448275862,32
16,89.0,133,0.06369426751592357,32
17,148.0,192,0.016666666666666666,32
18,146.0,192,0.0,32
19,153.0,199,0.0,32
20,160.0,206,0.0,32
21,213.0,257,0.0,32
22,213.0,257,0.0,32
23,214.0,257,0.0,93
