,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-16.955223880597018,0,0.7261904761904762,0
1,-4.416666666666665,13,0.872093023255814,0
2,-15.882352941176476,13,0.9245283018867925,0
3,-13.793103448275877,14,0.9647887323943662,0
4,-13.764705882352928,14,0.9361702127659575,0
5,-14.559322033898301,14,0.9375,8
6,-21.000000000000007,14,0.9483568075117371,8
7,-14.864864864864861,20,0.9609375,8
8,-15.984375,20,1.0,8
9,-17.238709677419365,20,1.0,8
10,-22.35593220338982,20,1.0,15
11,-23.0,20,1.0,39
12,32.0,81,0.1588785046728972,39
13,28.0,81,0.16071428571428573,39
14,34.0,86,0.1375,39
15,33.0,86,0.18,47
16,79.0,136,0.01910828025477707,47
17,73.0,136,0.008,47
18,71.0,136,0.008771929824561403,47
19,70.0,136,0.0,47
20,98.0,149,0.0,47
21,96.0,149,0.0,47
22,96.0,149,0.0,48
23,92.0,149,0.0,51
