,Expectiminimax scores,Expectiminimax game scores,MCTS win rates,MCTS game scores
0,-15.811188811188844,0,0.4423076923076923,0
1,6.03636363636364,10,0.4803921568627451,11
2,-4.897959183673467,10,0.4074074074074074,11
3,-4.633333333333332,10,0.4745762711864407,11
4,-4.7017543859649145,10,0.4931506849315068,11
5,-10.59615384615385,10,0.6526315789473685,11
6,-15.238095238095218,10,0.5888888888888889,11
7,-15.999999999999975,10,0.5955056179775281,11
8,-13.641509433962273,12,0.6047197640117994,11
9,-7.725490196078424,18,0.4959677419354839,11
10,-10.130434782608688,18,0.0,11
11,7.0,30,0.0,11
12,1.0,34,0.8243243243243243,11
13,-1.0,34,0.9682539682539683,11
14,-1.0,34,0.8983050847457628,11
15,-2.0,34,0.9230769230769231,11
16,-2.0,34,0.987012987012987,11
17,-8.0,34,1.0,11
18,-3.0,39,1.0,11
19,-3.0,39,1.0,11
20,-5.0,39,1.0,11
21,-5.0,39,1.0,11
22,-5.0,39,1.0,40
23,5.0,47,1.0,53
